datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-09-23,4109.06201171875,4036.17138671875,4125.26611328125,4102.39892578125,4173.3583984375,4214.23193359375,4144.62109375,4123.5986328125,4178.30126953125,4177.09375,4135.38671875,4072.42431640625,4070.9560546875,4028.57421875,4216.81689453125,4111.0078125,4177.82373046875,4139.388671875,4068.24267578125,4204.6845703125,4134.6435546875,4055.199462890625,4131.2060546875,4014.520263671875,4069.237548828125,4154.7197265625,4087.32763671875,4102.619140625,4151.24951171875,4116.35791015625,4124.9697265625,4094.971923828125,4152.6552734375,4221.388671875,4109.51220703125,4130.02734375,4117.8134765625,4213.15283203125,4105.31396484375,4144.72802734375,4087.8779296875,4172.75537109375,4070.52099609375,4103.48095703125,4155.021484375,4112.0498046875,4140.5498046875,4146.26318359375,4176.8671875,4174.91748046875,4156.939453125
2023-09-24,4072.732666015625,3983.03173828125,4107.14208984375,4088.047607421875,4173.83251953125,4265.74755859375,4146.4375,4113.30908203125,4149.0947265625,4203.25341796875,4096.083984375,4027.253173828125,4014.820068359375,3978.403564453125,4275.1630859375,4102.63818359375,4174.00048828125,4118.15771484375,4028.424072265625,4183.072265625,4108.76611328125,4000.128662109375,4117.4873046875,3942.974853515625,4024.562744140625,4130.455078125,4052.194091796875,4083.351806640625,4138.48681640625,4079.219482421875,4109.22900390625,4074.124267578125,4109.61767578125,4191.2353515625,4076.90234375,4106.71240234375,4112.8466796875,4275.16455078125,4067.499267578125,4131.71044921875,4054.874755859375,4147.3369140625,4022.00341796875,4064.120361328125,4144.71728515625,4103.89453125,4101.60693359375,4125.193359375,4186.40185546875,4162.24609375,4114.68505859375
2023-09-25,4036.84716796875,3959.319580078125,4089.62548828125,4086.107421875,4179.74072265625,4353.046875,4160.35400390625,4129.53271484375,4130.2763671875,4225.21923828125,4071.00634765625,4008.360595703125,3970.41259765625,3936.83984375,4343.3505859375,4094.7734375,4194.48291015625,4092.7578125,3998.509765625,4176.80224609375,4082.7021484375,3959.714599609375,4119.31689453125,3877.212158203125,4010.10205078125,4110.08056640625,4021.104248046875,4077.9541015625,4151.48974609375,4063.201171875,4122.0341796875,4080.005615234375,4065.90185546875,4164.9326171875,4038.49609375,4085.78173828125,4145.99658203125,4330.29443359375,4032.561279296875,4142.85498046875,4042.17138671875,4128.81396484375,3998.121337890625,4024.24658203125,4148.16650390625,4103.09130859375,4066.078369140625,4116.68212890625,4214.8203125,4172.1708984375,4068.935546875
2023-09-26,4003.21826171875,3951.041748046875,4063.492919921875,4106.71533203125,4173.271484375,4412.666015625,4163.16748046875,4152.18994140625,4130.6337890625,4246.54248046875,4085.406494140625,4014.10888671875,3942.03564453125,3902.754150390625,4383.14306640625,4075.660400390625,4223.6298828125,4063.138916015625,3974.414794921875,4179.77490234375,4053.102783203125,3935.216064453125,4121.35009765625,3819.97216796875,4021.06982421875,4085.6064453125,3993.677734375,4060.60791015625,4181.80712890625,4055.8125,4167.7109375,4111.45654296875,4023.141357421875,4133.3525390625,3994.709228515625,4055.259033203125,4201.61376953125,4362.15380859375,4000.5234375,4157.02685546875,4023.94775390625,4112.35693359375,4000.0234375,3985.389404296875,4147.46435546875,4098.71826171875,4043.396240234375,4121.94921875,4272.42626953125,4200.45947265625,4035.109375
2023-09-27,3979.205078125,3981.51220703125,4046.221435546875,4120.40869140625,4156.82861328125,4401.0478515625,4149.40966796875,4153.02001953125,4175.4345703125,4249.23828125,4098.44287109375,4042.488525390625,3932.91748046875,3875.483642578125,4389.55029296875,4049.54833984375,4230.0341796875,4035.182373046875,3960.36376953125,4181.7197265625,4025.222900390625,3919.329345703125,4109.6787109375,3781.75732421875,4038.0556640625,4046.092529296875,3975.491943359375,4038.39501953125,4187.2294921875,4057.027099609375,4237.24951171875,4138.77880859375,3986.47705078125,4115.005859375,3953.36279296875,4012.7197265625,4252.98095703125,4378.1240234375,3971.275634765625,4143.728515625,3996.4814453125,4098.35986328125,4023.965576171875,3955.670166015625,4136.54541015625,4100.6484375,4037.010986328125,4140.88916015625,4326.115234375,4219.82080078125,4036.38916015625
2023-09-28,3981.6162109375,4078.504638671875,4018.99853515625,4104.30078125,4156.123046875,4340.95751953125,4133.34130859375,4128.52880859375,4324.4912109375,4238.51416015625,4128.33642578125,4093.341064453125,3923.626953125,3854.283447265625,4377.10888671875,4011.64404296875,4208.57470703125,4013.72607421875,3963.843505859375,4170.26513671875,4013.8681640625,3916.531982421875,4078.138916015625,3772.95458984375,4066.562744140625,3991.292724609375,3961.49560546875,4002.80859375,4161.06103515625,4072.30126953125,4314.39453125,4135.56591796875,3955.481689453125,4124.61376953125,3944.974853515625,3963.1962890625,4296.69091796875,4388.87451171875,3944.700927734375,4093.54296875,3974.837646484375,4084.026611328125,4055.95654296875,3935.982177734375,4108.185546875,4083.56591796875,4040.694091796875,4173.0361328125,4372.4658203125,4221.13037109375,4092.84716796875
2023-09-29,4008.603515625,4240.138671875,3976.632568359375,4075.7294921875,4192.67626953125,4267.82421875,4125.82763671875,4104.28955078125,4546.0615234375,4219.138671875,4206.9130859375,4201.14697265625,3910.991943359375,3852.263671875,4354.67724609375,3969.760009765625,4193.7763671875,3996.843017578125,3988.372802734375,4139.80908203125,4009.684814453125,3934.73095703125,4033.591552734375,3790.952880859375,4142.25439453125,3931.63916015625,3948.1162109375,3953.69921875,4127.48291015625,4095.88525390625,4405.134765625,4111.384765625,3933.5859375,4157.40673828125,3939.059814453125,3911.694091796875,4349.96533203125,4403.17138671875,3922.334228515625,4023.816162109375,3974.379150390625,4063.826171875,4106.80712890625,3928.49462890625,4072.200927734375,4065.232421875,4047.094482421875,4254.07080078125,4438.5810546875,4231.70654296875,4200.65869140625
2023-09-30,4053.899658203125,4436.58544921875,3936.672607421875,4061.415283203125,4255.197265625,4199.75732421875,4127.3701171875,4110.80029296875,4683.85791015625,4198.27880859375,4353.6201171875,4403.42578125,3897.725341796875,3849.8837890625,4327.94921875,3932.767333984375,4223.17333984375,3981.995849609375,4029.44189453125,4103.78662109375,4019.39892578125,3979.973876953125,3989.16796875,3842.212890625,4273.6240234375,3885.63037109375,3941.476318359375,3903.803466796875,4106.396484375,4135.9462890625,4501.583984375,4077.823486328125,3921.903564453125,4205.6455078125,3930.85888671875,3864.84912109375,4412.966796875,4403.328125,3905.605224609375,3953.529296875,4005.953369140625,4048.301025390625,4191.70703125,3934.17822265625,4039.718505859375,4061.767578125,4051.645751953125,4431.80615234375,4528.97900390625,4271.3193359375,4337.13232421875
2023-10-01,4119.23583984375,4659.4482421875,3903.2001953125,4060.244140625,4286.71728515625,4146.52490234375,4138.0244140625,4152.71240234375,4695.912109375,4180.86279296875,4566.029296875,4601.99560546875,3890.47998046875,3853.812744140625,4321.2841796875,3903.024658203125,4299.6640625,3963.7890625,4077.506591796875,4062.427978515625,4038.286865234375,4037.691162109375,3951.4091796875,3893.215576171875,4393.5615234375,3853.702880859375,3944.192626953125,3875.193115234375,4107.98779296875,4193.6484375,4573.5361328125,4044.564697265625,3928.633056640625,4265.92431640625,3949.3330078125,3829.400146484375,4455.6396484375,4366.732421875,3889.337890625,3892.2314453125,4071.227783203125,4030.26318359375,4282.88720703125,3946.227294921875,4013.243408203125,4065.30859375,4054.84521484375,4636.19970703125,4655.7216796875,4332.669921875,4470.1904296875
2023-10-02,4167.82177734375,4875.27685546875,3873.371337890625,4056.962890625,4269.380859375,4102.41357421875,4179.71630859375,4204.34765625,4627.33544921875,4169.2333984375,4776.63330078125,4668.212890625,3894.65869140625,3868.096435546875,4389.85888671875,3877.367919921875,4370.17041015625,3936.068603515625,4118.1669921875,4018.166015625,4057.6943359375,4113.41796875,3925.93701171875,3918.022216796875,4462.21533203125,3828.59765625,3955.478271484375,3856.2919921875,4124.47900390625,4245.3916015625,4622.71435546875,4013.854736328125,3964.36376953125,4374.76318359375,3973.288330078125,3807.302978515625,4459.8505859375,4297.1875,3868.126220703125,3838.406494140625,4147.82177734375,4000.369384765625,4332.3095703125,3959.7734375,3987.24609375,4079.728759765625,4051.15576171875,4781.609375,4857.3876953125,4399.46728515625,4537.3349609375
